category,criteria
Fun,Did the child have fun building it?
Fun,Linking hobby to the activity
Fun,Toy demonstration moment
Fun,Passion
Fun,Bonus point
Function,Functionality
Function,Applicability
Function,Lends itself to more than one use?
Function,Bonus points
Engineering and crafting,Neatness
Engineering and crafting,Quality of execution
Engineering and crafting,Attention to detail
Engineering and crafting,Build Style
Creativity & Innovation,Build Style
Creativity & Innovation,Uniqueness
Creativity & Innovation,Demonstrate an understanding of material properties
Creativity & Innovation,Combining different materials/resources
Creativity & Innovation,Bonus point
